,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
43663115770,,,麒麟980,,,其他,4200mAh（典型值）,,Type-C,1400+,,华为 mate20 pro,10月,5099.00,后置三摄,,729589,OLED,6.39 英寸,约189克,2018年
31549787770,四核,--,--,3GB,32GB,2个,3000mAh（typ）,小米（MI）,Micro USB,4600+,500万像素,红米6A,6月,618.00,1个,1300万像素,1440*720,其他,5.45英寸,145,2018年
6513853,其他,其他,其他,其他,其他,2个,1600,,Micro USB,4万+,无,E209J,1月,168.00,1个,30万像素,240*320,其他,2.31,105,2018年
39912025175,,,Helio P35,,,2个,3000（typ）/ 2900 ( min ),小米（MI）,Micro USB,3200+,,Play,12月,786.00,后置双摄,,2280x1080,其他,5.84英寸,150±5 g,2018年
44242885673,,,骁龙710,,,2个,3680mAh （额定值）；3765mAh（典型值,OPPO,Type-C,2600+,,Reno,4月,2599.00,后置双摄,,754689,AMOLED,6.4英寸,约185g,2019年
32475276897,其他,以官网信息为准,--,4GB,64GB,2个,3750mAh（典型值）,华为（HUAWEI）,Micro USB,200+,1600万像素,荣耀8x,9月,1059.00,2个,2000万像素,2340*1080,IPS,6.5英寸,约175克,2018年
100002069408,八核,2.8GHz,骁龙845（SDM845）,8GB,128GB,2个,3800,努比亚（nubia）,Type-C,3.5万+,800万像素,红魔Mars,11月,2099.00,1个,1600万像素,2160*1080,TFT,6.0英寸,193,2018年
33563702037,,,其他,4GB,64GB,2个,4000mAh-5999mAh,,,1900+,,其他,10月,979.00,,,699383,其他,6.26英寸,167.2g ,2018年
48701716291,,,其他,,,2个,4035,OPPO,Type-C,2500+,,OPPO RenoZ,6月,2299.00,后置双摄,,2340*1080,AMOLED,6.4英寸,186,2019年
31770186750,八核,-,麒麟710,6GB,128GB,2个,3750mAh（典型值） ,华为（HUAWEI）,Micro USB,4900+,1600万像素,荣耀8X,9月,1488.00,2个,2000万像素,2340*1080,IPS,6.5英寸,约175克（含电池）,2018年
48478833016,,,骁龙439（SDM439）,,,2个,4000（typ）*/3900（min）,小米（MI）,Micro USB,700+,,红米7A,5月,539.00,后置单摄,,655599,其他,5.45英寸,约165,2019年
50123283194,,,麒麟980,8GB,128GB,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,100+,,nova 5 Pro,以官网信息为准,2999.00,,,754689,OLED,6.39英寸,约171克（含电池）,2019年
51077361335,,,骁龙450,,,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,4700+,,华为畅享9,12月,918.00,后置双摄,,1520x720,TFT,6.26英寸,约168克（含电池）,2018年
40232270288,,,骁龙425（MSM8917）,3GB,32GB,2个,0,,,6500+,,0,12月,799.00,,,596120,TFT,6.2英寸,0,2018年
100005231376,八核,"1.8GHz,1.6GHz",其他,6GB,64GB,2个,5000mAh（典型值）,三星（SAMSUNG）,Type-C,2400+,1600万像素,SM-A3050/A3058,5月,1499.00,3个,1300万+500万+500万像素,1560*720,AMOLED,6.4英寸,174,2019年
46068658080,,,骁龙710,,,2个,3765,OPPO,Type-C,2500+,,Reno,4月,2999.00,后置双摄,,2340*1080,AMOLED,6.4英寸,185,2019年
5237558,,,MT6737,,,2个,3000,,Type-C,1.9万+,,ZTE tech 上海中兴 F5,6月,699.00,后置单摄,,1280×720,TFT,5.5英寸,161.8,2017年
48451817721,,,其他,,,2个,3765mAh（典型值）3680mAh（额定值）,OPPO,Type-C,2500+,,K3,6月,1599.00,后置双摄,,2340x1080,AMOLED,6.5英寸,191,2019年
100001768501,其他,其他,其他,其他,其他,2个,1600,飞利浦（Philips）,Micro USB,2.5万+,无,E331K,12月,199.00,1个,30万像素,240*320,TFT,2.4英寸,110,2018年
100000856861,八核,2.8GHz,骁龙845（SDM845）,8GB,128GB,2个,3800,,Type-C,3.1万+,无,努比亚X,10月,2399.00,2个,2400万+1600万像素,2280x1080,TFT,6.26英寸,182,2018年
